BLOOM,CRF
Exames de Densitometria Óssea para todo o corpo e/ou por segmentos em Ituiutaba,
SHOW ARTÍSTICO COM A BANDA “ CHEIRO DE AMOR ”,SHOW ARTÍSTICO COM A BANDA “ CHEIRO DE AMOR
Transporte Coletivo Urbano de Passageiros,Selecionar Concessionária para executar o serviço regular de Transporte Coletivo Urbano de Passageiros no Município de Formiga
restaurantes e hotéis objetivando o fornecimento eventual de refeições e hospedagem,restaurantes e hotéis
Aquisição de materiais de construção para ampliação de prédio público do Município,materiais de construção para ampliação de prédio público do Município
aquisição de brinquedos de área externa para a rede pública de ensino,brinquedos de área externa para a rede pública de ensino
materiais de alvenaria,Registro de Preços de materiais de alvenaria
CARRO DE SOM,VEICULAÇÃO DE PROPAGANDA VOLANTE COM CARRO DE SOM
recarga de cartucho de toner a laser,prestação de serviços de recarga de cartucho de toner a laser em atendimento a todas as Secretarias
prestação de serviços de ARBITRAGEM,
locação de imóvel para o sede da Garagem de véiculos leves,locação de imóvel
elaboração e execução de Projeto de Prevenção e Combate a Incêndio e Pânico para eventos no município,prestação de serviços especializados em elaboração e execução de Projeto de Prevenção e Combate a Incêndio e Pânico
serviço de capina,
implantação de melhorias habitacionais,
AQUISIÇÃO DE UNIFORMES ESCOLAR PARA ALUNOS DO MUNICÍPIO DE CAMPO DO MEIO,UNIFORMES ESCOLAR PARA ALUNOS DO MUNICÍPIO DE CAMPO DO MEIO
Show Artístico Musical,Contratação de Serviços Profissionais – Show Artístico Musical
executar serviços técnicos especializados engenharia e arquitetura visando à elaboração de projetos relativos à restauração do Casarão do antigo Hotel Roberto,
projetores com serviço de instalação,Registro de preço para fornecimento parcelado e sob demanda de projetores com serviço de instalação para atender a secretaria de educação e secretaria de gestão
execução de serviços de borracharia,serviços de borracharia
roçadeira articulada,roçadeira articulada para o setor de obras deste município
recarga de gás 13 kg,Fornecimento de recarga de gás 13 kg
peças de reposição para manutenção dos consultórios odontológicos da administração municipal de Santa Margarida,
Câmara para Acondicionamento de Vacinas,
veiculo o KM,veiculo o KM destinado a assistência a Saúde
ABRIGO PARA PONTO DE ÔNIBUS,INSTALAÇÃO DE ABRIGO PARA PONTO DE ÔNIBUS POR
CONSULTORIA NA ÁREA DE PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO CULTURAL,
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE MÃO DE OBRA MECÂNICA DE MAQUINAS PESADAS PARA ATENDER AS DEMANDAS DA SECRETARIA MUNICIPAL,MÃO DE OBRA MECÂNICA DE MAQUINAS PESADAS
CONFORME CALENDÁRIO ESCOLAR,
Serviço de Locação de Veículos para Transporte Escolar para alunos com necessidades especiais e mobilidade Reduzida,Locação de Veículos para Transporte Escolar para alunos com necessidades especiais e mobilidade Reduzida
transporte de estudantes referente à Região de Aurora para atender a demanda da Secretaria Municipal de Educação,transporte de estudantes referente à Região de Aurora
lanche,Contratação de empresa especializada para prestação de serviço de fornecimento de lanche
fornecimento de combustível,combustível
calçamento da Rua 05 do Loteamento N. S. Aparecida no município de Pedra Bonita,
CONTRATAÇÃO DE MICROEMPRESAS EMPRESAS DE PEQUENO PORTE PARA FORNECIMENTO DE OXIGÊNIO MEDICINAL E LOCAÇÃO DE CONCENTRADORES DE OXIGÊNIO PARA,LOCAÇÃO DE CONCENTRADORES DE OXIGÊNIO
serviço de recargas de extintores ABC 4 kg,recargas de extintores ABC 4 kg
COMBUSTIVEL AUTOMOTIVO,COMBUSTIVEL AUTOMOTIVO para o consumo dos veículos e máquinas da frota do município de Dom Bosco
obras pavimentação das em TSD e drenagem superficial nas ruas Vereador Cesar Barbosa e da Cachoeira,
Contratação de empresa especializada em serviços de Internet e rede VPN e para a manutenção corretiva e preventiva em computadores e rede lógica de dados dos prédios públicos municipais de VERDELÂNDIA-MG,Internet e rede VPN e para a manutenção corretiva e preventiva em computadores e rede lógica de dados dos prédios públicos municipais de VERDELÂNDIA-MG
Software Legislador e instalação e manutenção de sistema de divulgação na internet das sessões da Câmara Municipal,
VAN 19 LUGARES COM MOTORISTA E DESPESAS POR CONTA DA EMPRESA,LOCAÇÃO DE VAN 19 LUGARES
“ Natália de Paiva Ferreira Xavier- MEI ”,
equipamentos antropométricos,
Contratação de empresa apta a prestar manutenção mensal e suporte técnico especializado sobre os sistemas informatizados,manutenção mensal e suporte técnico especializado sobre os sistemas informatizados
SERVIÇOS DE ASSESSORIA,
serviços de assessoria,assessoria em procedimentos licitatórios
eletroeletrônicos,eletroeletrônicos destinados ao suporte operacional das ações de acompanhamento e orientações dos beneficiários do Programa Bolsa Família e Cadastro Único e equipamentos de cozinha
formatação do Plano de Mobilidade Urbana do Município,
FISIOTERAPIA,
Locação e Assessoria em fechamento de produção nos sistemas do governo com suporte técnico e treinamento nas áreas mencionadas no Termo de Referência,Locação e Assessoria em fechamento de produção
serviços de orientados social e facilitador de oficina para atuar no Serviço de Convivência e Fortalecimento de Vínculos – SCFV,orientados social e facilitador de oficina
Adesão a Ata de Registro de Preço nº 020/2018,
ÁGUA MINERAL,ÁGUA MINERAL E GÁS DE COZINHA GLP PARA USO DAS SECRETARIAS MUNICIPAIS
GÁS DE COZINHA GLP,ÁGUA MINERAL E GÁS DE COZINHA GLP PARA USO DAS SECRETARIAS MUNICIPAIS
Aquisição de caçambas estacionárias para transporte de lixo e entulho para manutenção dos serviços da Secretaria Municipal de Gestão Ambiental,caçambas estacionárias para transporte de lixo e entulho para manutenção dos serviços da Secretaria Municipal de Gestão Ambiental
Eletrifica – Construção e Manutenção Elétrica Ltda – EPP,
MATERIAL PARA REPARO DE PAVIMENTAÇÃO DE VIAS URBANAS DO MUNICÍPIO DE MAR DE ESPANHA NO EXERCÍCIO DE 2018,COMPRA DE MATERIAL PARA REPARO DE PAVIMENTAÇÃO DE VIAS URBANAS DO MUNICÍPIO DE MAR DE ESPANHA NO EXERCÍCIO DE 2018
LOCAÇÃO DE SOFTWARE,LOCAÇÃO DE SOFTWARE INTEGRADO DE GESTÃO PÚBLICA
CLEON SERVIÇOS MÉDICOS LTDA-ME,
CLEON SERVIÇOS MÉDICOS LTDA-ME,
Registro de Preços para aquisição de medicamentos e material ambulatorial em atendimento a Secretaria Municipal de Saúde,medicamentos e material ambulatorial
RETRO ESCAVADEIRA,
CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE CHAVEIRO E CONFECÇÃO DE CARIMBOS PARA ATENDER OS DIVERSOS SETORES DA ADMINISTRAÇÃO MUNICIPAL,CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE CHAVEIRO E CONFECÇÃO DE CARIMBOS
MATERIAIS PARA CONSTRUÇÃO DE UM MURO DE ARRIMO NA ENCOSTA DA RUA DO PAIOL COM A RUA ISAAC QUIRINO DE SOUZA,
CBUQ,AQUISIÇÃO DE CBUQ
EPI,
MATERIAL ESCOLAR E MATERIAL DE PAPELARIA,MATERIAL ESCOLAR E MATERIAL DE PAPELARIA PARA MANUTENÇÃO DAS ATIVIDADES DAS ESCOLAS MUNICIPAIS
Aquisição de materiais hidraulicos,materiais hidraulicos
leite pediasure e aptamil 2 800 mg para complementação alimentar,leite pediasure e aptamil 2 800 mg para complementação alimentar conforme ordem judicial
impressão de jornal institucional informativo,registro de preço para contratação de empresa para impressão de jornal institucional informativo da Prefeitura Municipal de Diamantina
COBERTURA DA QUADRA EMEIF LOCALIZADA NO BAIRRO SANTO AGOSTINHO EM PERDIGÃO-MG,
LUVA DE PROCEDIMENTOS CIRÚRGICOS,LUVA DE PROCEDIMENTOS
Consultas de Pneumologia,Prestação de Serviços Médicos de Consultas de Pneumologia
utensílios domésticos e eletroportáteis,
AQUISIÇÃO DE TRATOR AGRÍCOLA,TRATOR AGRÍCOLA
Aquisição de trator agrícola,trator agrícola
AUTOCLAVE,UMA AUTOCLAVE
Consultoria referente aos trabalhos para adequação do Município à Lei nº 18.030/2009 para o exercício de 2021,Consultoria referente aos trabalhos
Assessoramento técnico ao SAAE de Pirapora na fiscalização e acompanhamento da execução das obras da nova captação de água bruta,
uma roçadeira multifuncional,roçadeira multifuncional
Água Mineral sem gás,
espessante alimentar,
Refeição Self Service e Refrigerante,
GOVERNOTERMO DE RATIFICAÇÃO INEXIGIBILIDADE Nº 048/2016,
30 CAIXAS DE PAPEL OFÍCIO II,
pedra brita nº 1,
rachão para pavimentação,
revitalização do monumento Cristo Redentor,
PAVIMENTAÇÃO ASFÁLTICA CBUQ E DRENAGEM PLUVIAL EM VIAS PÚBLICAS DO MUNICÍPIO DE SANTA BÁRBARA DO LESTE,PAVIMENTAÇÃO ASFÁLTICA CBUQ E DRENAGEM PLUVIAL EM VIAS PÚBLICAS
JOSÉ CARLOS PEREIRA,
alface lisa,
diretamente da agricultura familiar,
JOSÉ CARLOS PEREIRA,
formar registro de preços para aquisição de balsa tubular,balsa tubular
Aquisição de sistema de processamento de dados composto por unidade storage e discos magnéticos,sistema de processamento de dados composto por unidade storage e discos magnéticos
Cimento,
Divisórias,Fornecimento e Instalação de Divisórias
1º. TERMO ADITIVO PROCESSO,
exames de ultrassonografia e radiológicos,credenciamento de prestadores de serviço para realização de exames de ultrassonografia e radiológicos / com laudo médico
leite UHT,leite UHT e Cestas básicas sociais para concessão de benefício para atendimento das famílias acompanhadas pelo Departamento de Assistência Social
Cestas básicas sociais,leite UHT e Cestas básicas sociais para concessão de benefício para atendimento das famílias acompanhadas pelo Departamento de Assistência Social
sementes de milho e feijão,sementes de milho e feijão para serem usados no projeto da praia da missa
prestação de Serviços Técnicos Especializados para suporte ao desenvolvimento da Política de Proteção ao Patrimônio Cultural e do Turismo do Município,prestação de Serviços Técnicos Especializados para suporte ao desenvolvimento da Política de Proteção ao Patrimônio Cultural
Registro de Preços para eventual contratação de empresa para fornecimento de material e equipamento hospitalar,material e equipamento hospitalar
Aquisição de chapas em aço para confecção de placas de sinalização estratigráfica vertical,chapas em aço para confecção de placas de sinalização estratigráfica vertical
caminhão truck basculante,prestação de serviços e locação de caminhão truck basculante
ERRATA PUBLICAÇÃO PROCESSO 140/2017 DISPENSA 31/2017,
CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE INSPEÇÃO VEICULAR NO TRANSPORTE ESCOLAR EM ATENDIMENTO À SOLICITAÇÃO DA SECRETARIA DE OBRAS,INSPEÇÃO VEICULAR NO TRANSPORTE ESCOLAR
Contratação de Empresa Para Prestação de Serviços de Hospedagem,Serviços de Hospedagem
Serviços de Comunicação em Geral,
Contratação de empresa especializada na área financeira para prestação de serviços de recuperação de créditos fiscais junto aos órgãos de Telecomunicações,recuperação de créditos fiscais junto aos órgãos de Telecomunicações
AUTO POSTO BAGAGEM LTDA,
fornecimento de energia elétrica regulada pela CEMIG para atender,
Leite Pasteurizado Integral,Leite Pasteurizado Integral para a merenda escolar e demais departamentos do município de Ouro Fino
aquisição de materiais para oficinas de artesanato e atividades lúdicas do serviço de convivência e fortalecimento de vínculos do CRAS,materiais para oficinas de artesanato e atividades lúdicas do serviço de convivência e fortalecimento de vínculos do CRAS
serviços mecânicos em veículos,serviços mecânicos em veículos das Secretarias de Obras e Saúde
Aquisição de fraldas descartáveis infantis e geriátricas,fraldas descartáveis infantis e geriátricas
HERBICIDA NÃO AGRÍCOLA COM REGISTRO no IBAMA,HERBICIDA NÃO AGRÍCOLA
serviços de serralheria,prestação de serviços de serralheria
suco de caixinha,
banheiros,construção de banheiros na Escola José Lagares de Lima
manutenção no veiculo Spin 1.8 placa PQP-7868 da Vigilância em Saúde Epidemiológica da Semusa,peças e serviço de manutenção no veiculo Spin 1.8 placa PQP-7868 da Vigilância em Saúde Epidemiológica da Semusa
Assessoria Jurídica,
Serviços de Locação de Máquina Copiadora,Locação de Máquina Copiadora
refeições à vontade e lanches na cidade de Unaí,
CONTRATAÇÃO DE EMPRESA PARA PUBLICAÇÃO DE ATOS OFICIAIS- Vigência 19/01/2018 até 31/12/2018,
CONTRATAÇÃO ARTÍTICA PARA APRESENTAÇÃO DE SHOW NO EVENTO FORRÓ DO ARAÇÁ,A CONTRATAÇÃO ARTÍTICA PARA APRESENTAÇÃO DE SHOW NO EVENTO FORRÓ DO ARAÇÁ
publicidade para a prestação de serviços de publicações em jornais oficiais para atender as necessidades da Secretaria Municipal de Administração do Município de Lagamar,
Bandas para o Carnaval 2020 do município de Cajuri,Contratação de Bandas para o Carnaval 2020 do município de Cajuri
peças para manutenção dos veículos da frota municipal,fornecimento de peças para manutenção dos veículos da frota municipal
fornecimento de refeição,
locação e instalação de aparelhos CPAP para uso domiciliar,aparelhos CPAP
"20.000,00",
prestação de serviços de manutenção corretiva e novas instalações de pontos de iluminação no município de Santa Margarida – MG,manutenção corretiva e novas instalações de pontos de iluminação no município de Santa Margarida – MG
Aquisição de Lençóis,Lençóis
"Acréscimo de 15,872 % sobre o valor do trajeto 26 do contrato",
Serviços de Recapagem de Pneus,Pneus
PREGÃO PRESENCIAL Nº021/2015,
Pregão Presencial nº021/2015,
CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS DE CONSTRUÇÃO DE SEDE DA ESCOLA MUNICIPAL “ RETIRO DO LIMOEIRO ” NO DISTRITO DE RIBEIRÃO,CONSTRUÇÃO DE SEDE DA ESCOLA MUNICIPAL “ RETIRO DO LIMOEIRO ” NO DISTRITO DE RIBEIRÃO DE TRAS
para manutenção em linha telefônica,serviço de para manutenção em linha telefônica
confecção de placas de identificação atendendo a solicitação da Secretaria Municipal de Educação,confecção de placas de identificação
estereomicroscopio,
medicamentos injetaveis para manutenção das atividades da secretaria Municipal de Saúde da Prefeitura Municipal de Cachoeira Dourada-MG,medicamentos injetaveis
serviço de publicidade – Divulgação em veículo de som,Contratação de Pessoa Física para prestação de serviço de publicidade – Divulgação em veículo de som
elaboração de projetos para obras de extensão de rede de distribuição de energia elétrica e instalação de iluminação pública em diversos locais no Município de Serro- MG,elaboração de projetos para obras de extensão de rede de distribuição de energia elétrica e instalação de iluminação pública
equipamentos de áudio e vídeo,
prensagem em mangueiras hidráulicas,prestação de serviços de prensagem em mangueiras hidráulicas
AQUISIÇÃODE PEDRAS ARDOSIA E GRANITO PARA USO DE TODAS AS SECRETARIAS,
PAVIMENTAÇÃO EM BLOQUETES,PAVIMENTAÇÃO EM BLOQUETES COLOCAÇÃO DE MEIO FIO A SER EXECUTADO NA ESTRADA DO PINHAL REDONDO
prestação de serviços de fornecimento de concreto usinado para aplicação pela contratada nos locais designados pelo Departamento de Obras e Serviços Públicos da Prefeitura Municipal de Ouro Fino,fornecimento de concreto usinado para aplicação pela contratada
MATERIAIS DE CONSTRUÇÃO EM GERAL,MATERIAIS DE CONSTRUÇÃO EM GERAL PARA MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA MUNICIPAL DE OBRAS
Banda Sacode a Poeira,apresentação musical da Banda Sacode a Poeira na Festa da Padroeira de Guaraciaba
balança eletrônica do Município de Córrego Danta – MG,Aquisição de material de construção para instalação da balança eletrônica do Município de Córrego Danta – MG
Contratação de empresa para prestação de serviços terceirizados,
pavimentação asfáltica de ruas do Bairro Vila Arraiolos,obras de pavimentação asfáltica
Contratação de empresa especializada em prestação de serviço de capina,
serviços elétricos contínuos de manutenção preventiva e corretiva,
autoescorvante e mangueira para sucção,
caminhão báscula e Carga Seca,caminhão báscula e Carga Seca para fretes e carretos
realização das festividades do dia das crianças,
locação de brinquedos para recreação,locação de brinquedos
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA,
aulas de manicure,aulas de manicure para a oficina de manicure
recarga de oxigênio e ar comprimido medicinal,Aquisição parcelada de recarga de oxigênio e ar comprimido medicinal
Medicamentos genéricos – percentual desconto,
Ônibus Scania Placa KMP 6411,
locação e contratação de prestação de serviços de transporte de pessoas vinculadas ao serviço de convivência e fortalecimento de vínculos do Município de Cabeceira Grande e Transporte de pacientes à APAE de Unaí,
Show musical com Rick Rodrigues,
aquisição de sementes de milho e feijão,sementes de milho e feijão
concurso público,Serviços para realização de concurso público de provas e títulos Fundamentação
RODRIGO RICHARDELLI DOS REIS- ME,
máquina copiadora,Locação de máquina copiadora
limpeza nas estradas vicinais,limpeza nas estradas vicinais do município
POSTO 7 ABASTECIMENTOS DE COMBUSTÍVEIS LTDA,
internação hospitalar + procedimento cirúrgico de extirpação do halux c/ possível revascularização,
SISTEMA DE ENERGIA ININTERRUPTA- NOBREAK,AQUISIÇÃO DE SISTEMA DE ENERGIA ININTERRUPTA- NOBREAK
trator e do caminhão do SAAE,
ATERRO SANITÁRIO COM MAQUINA DE ESTEIRA OU EQUIVALENTE,MANUTENÇÃO DO ATERRO SANITÁRIO COM MAQUINA DE ESTEIRA OU EQUIVALENTE
registro de preço de combustível tipo Gasolina Comum para atender a frota municipal,combustível tipo Gasolina Comum
20 mb de Internet banda larga 100 % fibra ótica,Internet banda larga 100 % fibra ótica
recapeamento de Vias públicas para atender as necessidades da Secretaria Municipal de Obras e Serviços Públicos do Município de Lagamar,recapeamento de Vias públicas
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRAS NA CONSTRUÇÃO NO CENTRO DE CONVIVÊNCIA- JARDINAGEM E ACABAMENTOS,
Máquinas de Lavar Industrial e Secadora Industrial Para Creches Municipais,Manutenção de Máquinas de Lavar Industrial e Secadora Industrial Para Creches Municipais
ÁGUA MINERAL E GÁS P13 E P45 PARA ATENDER DIVERSAS SECRETARIAS DO MUNICÍPIO,ÁGUA MINERAL
5º ADITIVO AO CONTRATO 9912371274,
5º Aditivo ao Contrato 9912371274,
Escavadeira de esteira similar a 220 HP,prestação de serviços mecanizados através de Escavadeira de esteira similar a 220 HP
ESPIRAMICINA 500 MG,
REEQUILIBRIO ECONOMICO FINANCEIRO,
serviços de caminhão carroceria 3/4,caminhão carroceria 3/4
toner,registro de preços para fornecimento eventual e parcelado de toner para impressora Samsung SL-M3375-FD de utilização da secretaria municipal de saúde
CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE CAPACITAÇÃO DE PROFESSORES DO ENSINO INFANTIL E FUNDAMENTAL DA REDE MUNICIPAL DE ENSINO DE,CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE CAPACITAÇÃO DE PROFESSORES DO ENSINO INFANTIL E FUNDAMENTAL DA REDE MUNICIPAL DE ENSINO DE JAPONVAR
LOCAÇÃO DE 20 STANDS BÁSICOS,
GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR PARA SUPRIR AS NECESSIDADES DA MERENDA ESCOLAR,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR PARA SUPRIR AS NECESSIDADES DA MERENDA ESCOLAR
cascalho puro sem rejeito,cascalho
CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS DE TRANSPORTE DE ESTUDANTES DA REDE PUBLICA MUNICIPAL DE ENSINO DE ALVORADA DE,
SERVIÇOS TÉCNICOS DE LEVANTAMENTO PLANIALTIMÉTRICO,
SERVIÇOS TÉCNICOS DE LEVANTAMENTO PLANIALTIMÉTRICO,SERVIÇOS TÉCNICOS DE LEVANTAMENTO PLANIALTIMÉTRICO DO IMÓVEL DENOMINADO “ CAMPO VELHO
MATERIAIS E SERVIÇOS PARA SINALIZAÇÃO DE RUAS E AVENIDAS DO MUNICÍPIO,AQUISIÇÃO DE MATERIAIS E SERVIÇOS PARA SINALIZAÇÃO DE RUAS E AVENIDAS DO MUNICÍPIO
sinalização viária horizontal,prestação de serviço de sinalização viária horizontal
serviço continuo de dosimetria pessoal,
"5.814,00 M2 DE RECAPEAMENTO ASFALTICO EM CBUQ","CONTRATAÇÃO EMPRESA ESPECIALIZADA ENGENHARIA EXECUÇAO DE 5.814,00 M2 DE RECAPEAMENTO ASFALTICO EM CBUQ CONVENIO 002614/2015 SETOP"
Fornecimento de oxigênio e acetileno para uso na oficina da Secretaria Municipal de Obras e Infraestrutura,Fornecimento de oxigênio e acetileno
relatórios de levantamento radiométrico e de aplicação de testes de constância para os aparelhos de raio-x e mamógrafo,levantamento radiométrico e de aplicação de testes de constância para os aparelhos de raio-x e mamógrafo
serviço de recuperação no setor hidráulico de direção do Ônibus Volare 4x4 ano 2012/13 placa HNY-9299,recuperação no setor hidráulico de direção do Ônibus Volare 4x4 ano 2012/13 placa HNY-9299
AREIA,
AREIA,
AREIA,
AREIA,
AREIA,
Grupo Xorô Geraldo Roberto e Banda Trio And Sax,
TRANSPORTE DE MATERIAL BIOLÓGICO HUMANO,TRANSPORTE DE MATERIAL BIOLÓGICO HUMANO PROVENIENTE DE UNIDADES DE SAÚDE PARA O LABORATÓRIO MUNICIPAL
Contratação de empresa especializada no fornecimento e instalação de alarmes e câmeras de segurança para a sede do CISUM,
Prorrogação de prazo do Contrato Administrativo 107/2017 por mais 06 meses,
Desativação do câmera de monitoramento e aparelho de Stand Alone,monitoramento e aparelho de Stand Alone na antiga sala de licitações no Prédio da Prefeitura na Avenida
Registro de Preços – Fornecimento de Material Médico Hospitalar,Material Médico Hospitalar
oficineiro MARIA RIBEIRO BATISTA,
Revisão de 10.000 KM do veículo ônibus placas PYC-6800 da Secretaria Municipal de Educação,
Manutenção da Atividade da Secretaria da Câmara,
Serviço de Consultoria,
teste da Orelhinha,
apresentações artísticas musicais,apresentações artísticas musicais a fim de compor a programação das festividades culturais durante o período de carnaval do ano de 2018
iluminação pública,
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA E MANUTENÇÃO DE AR CONDICIONADO PARA AS UNIDADES DE SAÚDE,
madeiras para manutenção de mata burros,madeiras para manutenção de mata burros do Município de Carneirinho-MG
2º Termo Reequilíbrio Econômico-Financeiro,
medicamentos,medicamentos com desconto sobre a tabela CMED
extensão de rede e iluminação pública,execução de obras de extensão de rede e iluminação pública
Exames de cintilografia do miocárdio em Uberlândia,
Compras,
vigia e vigilância desarmada,
alimento completo para nutrição enteral,materiais médico hospitalares e alimento completo para nutrição enteral
prestação de serviços técnicos de engenharia civil,
cobertores,
prestação de serviços em assessoria e consultoria contábil e administrativa,assessoria e consultoria contábil e administrativa
Locação de impressora multifuncional para atender a demanda das secretarias municipais da Prefeitura Municipal de Santa Efigênia de Minas,Locação de impressora multifuncional
plano Municipal de saneamento básico de Pitangui,
show artístico com a banda “ ROGER CASTRO ” durante a realização do “ Carnaval Bom Demais em Minas Novas ” nas Avenidas e centro da cidade,show artístico com a banda “ ROGER CASTRO
28ª FESTA DO PEÃO DE BOIADEIRO DE TARUMIRIM,
RECAPEAMENTO DE VIAS URBANAS,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA PARA O RECAPEAMENTO DE VIAS URBANAS NO MUNICÍPIO DE SÃO JOÃO DA PONTE
COLETE SALVA VIDAS,COLETE SALVA VIDAS E MANUTENÇÃO E REPARO EM EXTINTOR DE INCÊNDIO PARA ATENDER A DEMANDA DA SECRETARIA MUNICIPAL DE EDUCAÇÃO E SAÚDE
MANUTENÇÃO E REPARO EM EXTINTOR DE INCÊNDIO,COLETE SALVA VIDAS E MANUTENÇÃO E REPARO EM EXTINTOR DE INCÊNDIO PARA ATENDER A DEMANDA DA SECRETARIA MUNICIPAL DE EDUCAÇÃO E SAÚDE
EXTINTOR DE INCÊNDIO,COLETE SALVA VIDAS E MANUTENÇÃO E REPARO EM EXTINTOR DE INCÊNDIO PARA ATENDER A DEMANDA DA SECRETARIA MUNICIPAL DE EDUCAÇÃO E SAÚDE
shows artísticos com a Dupla Paulinho e Pauleira,shows artísticos com a Dupla Paulinho e Pauleira para as festividades do Aniversãrio de 103
show artistico através do artista Ze Wilson e Banda,Contratação de Serviços Profissionais – show artistico através do artista Ze Wilson e Banda
CARNE DE FRANGO,CARNE DE FRANGO PARA O FORNECIMENTO EM DIVERSOS SETORES E SECRETARIAS DA PREFEITURA MUNICIPAL DE CAMPOS ALTOS- MG
seleção de proposta visando à contratação de empresa prestadora de serviços médicos e atendimento de consultas médicas,serviços médicos e atendimento de consultas médicas
serviços funerários,Registro de Preços de serviços funerários
fornecimento medicamento ético,
Benzilpenicilina Benzatina- 1.200.000 UI,medicamento Benzilpenicilina Benzatina- 1.200.000 UI
Reforma e Acabamento do Teatro – Palácio das Artes Nair Fonseca Lisboa,
SACOS PLÁSTICOS E LIXEIRA TIPO CONTÊINER,SACOS PLÁSTICOS E LIXEIRA TIPO CONTÊINER PARA ATENDER AS DEMANDAS DA SECRETARIA MUNICIPAL DE AGRONEGÓCIOS
gêneros alimentícios para desjejum de servidores da Prefeitura de Itapeva,Registro de preços para aquisição de gêneros alimentícios para desjejum de servidores da Prefeitura de Itapeva
Gêneros Alimentícios,
construção de uma quadra poliesportiva coberta,prorrogação da vigência contratual das obras de construção de uma quadra poliesportiva coberta na sede municipal
CONTRATAÇÃO DE EMPRESA PARA A CONSTRUÇÃO DE UNIDADE PROINFÂNCIA- TIPO 2,CONSTRUÇÃO DE UNIDADE PROINFÂNCIA- TIPO 2
roçada de beira de estradas e eventuais podas de árvores,
REGISTRO DE PREÇOS VISANDO AQUISIÇÃO FUTURA DE ÓLEOS E LUBRIFICANTES,ÓLEOS E LUBRIFICANTES
FORMAUTO PEÇAS E SERVIÇOS LTDA,
AQUISIÇÃO DE CESTAS DE NATAL em atendimento à Administração Municipal Direta de João Monlevade,CESTAS DE NATAL
aterro sanitário e manejo de resíduos sólidos,aterro sanitário
serviços profissionais especializados na área de psicologia para servir as necessidades do Centro de Referência e Assistência Social – CRAS,serviços profissionais especializados na área de psicologia
pintor e bombeiro HIDRAULICO,
Nutricionista,Contratação de Nutricionista
ALUGUEL DE BANHEIROS QUÍMICOS,
materiais de segurança / higiene,
serviços automotivos e descontos sobre a Tabela veículos leves Marca Renault da Frota Municipal,
LANCHES,LANCHES PARA COMEMORAÇÃO DA SEMANA DAS CRIANÇAS DO SCFV
prestação de serviços de prensagem em mangueiras hidráulicas,Contratação de pessoa jurídica para prestação de serviços de prensagem em mangueiras hidráulicas
prestação de serviços gráficos e placas de homenagens e identificação para os departamentos da prefeitura de Ouro Fino,serviços gráficos e placas de homenagens e identificação
Gás de Cozinha 13 KG- Valor da alteração,A aplicação de reequilibrio economico financeiro ao item 01 – Gás de Cozinha 13 KG- Valor da alteração
medicamentos para uso veterinário do controle de zoonoses,medicamentos
AQUISIÇÃO DE VEÍCULO ZERO KM COR BRANCA AMBULÂNCIA SIMPLES REMOÇÃO,VEÍCULO ZERO KM COR BRANCA AMBULÂNCIA SIMPLES REMOÇÃO
RATIFICAÇÃO DE INEXIGIBILIDADE DE LICITAÇÃO,
Aquisição de peças para o veículo Citroen Jumper OXJ-4876 conforme revisão programada durante o preíodo de garantia técnica,peças para o veículo Citroen Jumper OXJ-4876
análise clínica das águas dos setores da FUMSP,
LOCAÇÃO DE OBRAS,
Nutricionista,Contratação de Profissional de Nível Superior “ Nutricionista
prestação de serviços gráficos para confecção de faturas de saneamento e carnês de IPTU para o município de Itanhandu,serviços gráficos para confecção de faturas de saneamento e carnês de IPTU para o município de Itanhandu
locação de máquinas e equipamentos,locação de máquinas e equipamentos para diversos serviços realizados pela Secretaria Municipal de Obras
REFEIÇÃO,REFEIÇÃO PARA PACIENTES INTERNADOS NO HOSPITAL MUNICIPAL GERSON DIAS E USUÁRIOS CADASTRADOS DO CENTRO DE ATENÇÃO PSICOSSOCIAL
Execução de obra de conclusão de pavimentação da Rua Presidente Juscelino Kubitschek e João Lagoeiro,
adapt pasta,
Aquisição de herbicida,herbicida
Prestação de serviços de software,software
